Date,adj close,close,high,low,open,volume
2024-09-16,164.99000549316406,164.99000549316406,164.99000549316406,147.0,150.0,60898530
2024-09-17,181.47999572753906,181.47999572753906,181.47999572753906,173.5,175.11000061035156,20018480
2024-09-18,173.69000244140625,173.69000244140625,188.4499969482422,171.16000366210938,184.0,16792460
2024-09-19,160.11000061035156,160.11000061035156,175.77999877929688,156.3300018310547,173.0500030517578,23019120
2024-09-20,163.74000549316406,163.74000549316406,168.0,161.36000061035156,162.69000244140625,5405454
2024-09-23,161.67999267578125,161.67999267578125,166.85000610351562,160.02000427246094,166.38999938964844,5556208
2024-09-24,158.61000061035156,158.61000061035156,162.5,158.0,162.0,5183933
2024-09-25,154.11000061035156,154.11000061035156,159.89999389648438,153.1999969482422,158.0,2597185
2024-09-26,157.7899932861328,157.7899932861328,163.10000610351562,150.52000427246094,153.89999389648438,4980506
2024-09-27,157.24000549316406,157.24000549316406,160.42999267578125,156.60000610351562,158.49000549316406,1372207
2024-09-30,154.07000732421875,154.07000732421875,157.0,153.5,157.0,2740136
2024-10-01,152.89999389648438,152.89999389648438,156.6999969482422,152.60000610351562,154.75,2328900
2024-10-03,150.60000610351562,150.60000610351562,151.89999389648438,148.3000030517578,149.85000610351562,1712249
2024-10-04,150.64999389648438,150.64999389648438,153.8000030517578,148.25,152.0500030517578,4372538
2024-10-07,136.10000610351562,136.10000610351562,152.1999969482422,135.60000610351562,150.1999969482422,9115109
2024-10-08,149.6999969482422,149.6999969482422,149.6999969482422,129.85000610351562,135.25,8859129
2024-10-09,155.14999389648438,155.14999389648438,159.5,151.5,151.5,8102838
2024-10-10,150.8000030517578,150.8000030517578,157.9499969482422,150.0,156.85000610351562,1427932
2024-10-11,150.8000030517578,150.8000030517578,152.8000030517578,149.60000610351562,151.25,748294
2024-10-14,141.9499969482422,141.9499969482422,151.0,140.39999389648438,150.8000030517578,2533626
2024-10-15,139.89999389648438,139.89999389648438,145.0,138.0500030517578,143.89999389648438,3751980
2024-10-16,140.4499969482422,140.4499969482422,143.4499969482422,139.0,140.0,3373649
2024-10-17,138.25,138.25,141.60000610351562,137.6999969482422,140.4499969482422,1276280
2024-10-18,139.3000030517578,139.3000030517578,140.9499969482422,135.8000030517578,138.0,2853065
2024-10-21,136.5500030517578,136.5500030517578,141.89999389648438,136.0500030517578,140.60000610351562,1239606
2024-10-22,136.25,136.25,142.3000030517578,135.0,140.6999969482422,2791578
2024-10-23,136.75,136.75,138.4499969482422,134.60000610351562,136.5,3254409
2024-10-24,131.35000610351562,131.35000610351562,136.3000030517578,130.89999389648438,136.0,1412275
2024-10-25,131.39999389648438,131.39999389648438,133.14999389648438,128.14999389648438,131.75,4398195
2024-10-28,130.85000610351562,130.85000610351562,133.0,129.60000610351562,131.5500030517578,2741327
2024-10-29,131.85000610351562,131.85000610351562,132.35000610351562,129.4499969482422,131.0,921410
2024-10-31,134.14999389648438,134.14999389648438,136.25,132.85000610351562,134.5,1452122
2024-11-01,137.85000610351562,137.85000610351562,138.0,135.4499969482422,135.75,1190886
2024-11-04,135.3000030517578,135.3000030517578,138.10000610351562,134.25,137.9499969482422,1775993
2024-11-06,137.64999389648438,137.64999389648438,138.5500030517578,134.75,135.35000610351562,1980851
2024-11-07,138.3000030517578,138.3000030517578,141.5,136.5500030517578,138.9499969482422,1186254
2024-11-08,135.5500030517578,135.5500030517578,138.5500030517578,135.0500030517578,138.10000610351562,466090
2024-11-11,132.9499969482422,132.9499969482422,134.75,132.6999969482422,134.35000610351562,1339375
2024-11-12,131.0,131.0,134.1999969482422,130.5,132.75,1355760
2024-11-13,129.39999389648438,129.39999389648438,130.8000030517578,128.25,130.0,2141671
2024-11-14,129.5500030517578,129.5500030517578,130.8000030517578,128.64999389648438,129.3000030517578,1764988
2024-11-18,127.4000015258789,127.4000015258789,130.5500030517578,127.0,129.85000610351562,912600
2024-11-19,127.5999984741211,127.5999984741211,129.39999389648438,127.0,127.55000305175781,1644471
2024-11-21,125.8499984741211,125.8499984741211,127.55000305175781,125.30000305175781,127.4000015258789,1724961
2024-11-22,127.0,127.0,128.35000610351562,125.30000305175781,125.6500015258789,1324816
2024-11-25,129.3000030517578,129.3000030517578,132.89999389648438,128.8000030517578,130.0,1599780
2024-11-26,128.9499969482422,128.9499969482422,130.1999969482422,128.3000030517578,129.5,512595
2024-11-27,132.0,132.0,132.89999389648438,128.3000030517578,129.10000610351562,1757497
2024-11-28,136.8000030517578,136.8000030517578,140.6999969482422,132.1999969482422,133.0,1576089
2024-11-29,135.89999389648438,135.89999389648438,138.0,134.5,137.75,1234027
2024-12-02,134.60000610351562,134.60000610351562,136.25,133.5,135.0,1255806
2024-12-03,136.5,136.5,139.35000610351562,135.0,135.0,1083955
2024-12-04,138.35000610351562,138.35000610351562,141.25,137.0,137.8000030517578,698399
